id,base_price,created_at,description,duration_minutes,icon_url,image_url,is_active,is_featured,name,price_range,updated_at,category_id,published_at,warranty_included,included_items
1,1500.00,2026-05-03 10:00:00,"Battery health check, terminal cleaning and charging system inspection for petrol, diesel and hybrid vehicles. Replacement quotation provided when required.",30,"/service icons/Battery Services.png","/service images/Electrical & Electronic.jpg",true,false,Battery Services,"inspection from LKR 1,000",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Battery Health Check"",""Terminal Cleaning"",""Charging System Inspection"",""Replacement Quotation""]"
2,6500.00,2026-05-03 10:00:00,"Engine tune-up and diagnostic service for improved idle, fuel economy and acceleration. Suitable for petrol vehicles with rough idle, delayed pickup or routine maintenance needs.",120,"/service icons/Engine Tune ups.png","/service images/Mechanical Repair.jpg",true,false,Engine Tune ups,"from LKR 6,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Spark Plug Inspection"",""Fuel System Cleaning"",""Ignition Timing Addressed"",""Air Filter Check""]"
3,8500.00,2026-05-03 10:00:00,"Deep interior and exterior detailing for vehicles exposed to Colombo traffic, coastal humidity and monsoon dirt. Includes cabin cleaning, trim care, wash, polish prep and finishing.",240,"/service icons/Exterior & Interior Detailing.png","/service images/Exterior Detailing.jpg",true,true,Exterior & Interior Detailing,"from LKR 8,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Cabin Deep Cleaning"",""Trim Care Application"",""Foam Wash & Decon"",""Machine Polish Prep""]"
4,95000.00,2026-05-03 10:00:00,"Full paint service for accident repair or complete colour refresh, including surface preparation, primer, colour coat and clear coat finishing. Final quote depends on vehicle size and paint system.",4320,"/service icons/Full Paints.png","/service images/Complete Paint.jpg",true,false,Full Paints,"from LKR 95,000",2026-05-03 10:00:00,3,2026-05-03 10:00:00,true,"[""Surface Preparation"",""Primer Application"",""Custom Color Coat"",""Clear Coat Finishing""]"
5,7500.00,2026-05-03 10:00:00,"Comprehensive multi-point inspection report for used-car buyers and current owners, covering mechanical, electrical, accident signs, undercarriage condition and diagnostic findings.",150,"/service icons/Inspection Reports.png","/service images/Mulipoint Inspection Report.jpg",true,true,Inspection Reports,"from LKR 7,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Mechanical Check"",""Electrical System Scan"",""Undercarriage Inspection"",""Detailed Report""]"
6,0.00,2026-05-03 10:00:00,"Insurance claim support for accident repairs, including damage assessment, photo documentation, estimate preparation and coordination guidance for approved repair work.",180,"/service icons/Insurance Claims.png","/service images/General Collision Repair.jpg",true,false,Insurance Claims,"Quote required",2026-05-03 10:00:00,3,2026-05-03 10:00:00,true,"[""Damage Assessment"",""Photo Documentation"",""Estimate Preparation"",""Repair Coordination""]"
7,1500.00,2026-05-03 10:00:00,"Professional oil and filter change service for Japanese, European and hybrid vehicles. Oil grade and package can be selected at booking based on engine requirement.",45,"/service icons/Lube Services.png","/service images/Lubricant Service.jpg",true,true,Lube Services,"service fee from LKR 1,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Oil Drain & Change"",""Filter Replacement"",""Drain Gasket Check"",""Fluid Level Top-up""]"
8,35000.00,2026-05-03 10:00:00,"Nano coating package with wash, paint preparation and protective coating application for longer-lasting gloss, water beading and easier maintenance.",360,"/service icons/Nano Coating Packages.png","/service images/Exterior Detailing.jpg",true,false,Nano Coating Packages,"from LKR 35,000",2026-05-03 10:00:00,2,2026-05-03 10:00:00,true,"[""Decontamination Wash"",""Paint Correction"",""Surface Prep Wipe"",""Ceramic Application""]"
9,12000.00,2026-05-03 10:00:00,"Targeted nano treatment for selected panels, windscreen or high-contact exterior areas. Ideal as a refresh between full coating packages.",150,"/service icons/Nano Coating Treatments.png","/service images/Exterior Detailing.jpg",true,false,Nano Coating Treatments,"from LKR 12,000",2026-05-03 10:00:00,2,2026-05-03 10:00:00,true,"[""Panel Preparation"",""Targeted Coating"",""Windscreen Protection"",""Top Coat Finish""]"
10,0.00,2026-05-03 10:00:00,"Genuine, OEM-equivalent or quality aftermarket part replacement with inspection, sourcing advice and installation quotation for wear-and-tear or accident-related repairs.",120,"/service icons/Part Replacements.png","/service images/Mechanical Repair.jpg",true,false,Part Replacements,"Quote required",2026-05-03 10:00:00,3,2026-05-03 10:00:00,true,"[""Part Inspection"",""Sourcing Options"",""Component Installation"",""Final Testing""]"
11,1500.00,2026-05-03 10:00:00,"Tyre care service covering pressure check, puncture inspection, rotation advice and basic balancing support for city and highway driving conditions.",45,"/service icons/Tyre Services.png","/service images/Mechanical Repair.jpg",true,false,Tyre Services,"from LKR 1,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Pressure Optimization"",""Tread Inspection"",""Puncture Assessment"",""Basic Balancing Advice""]"
12,3500.00,2026-05-03 10:00:00,"Undercarriage degreasing and wash for oil residue, mud and coastal road grime. Recommended before inspections, repairs or after long-distance travel in wet conditions.",75,"/service icons/Undercarriage Degreasing.png","/service images/Exterior Detailing.jpg",true,false,Undercarriage Degreasing,"from LKR 3,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""High-Pressure Rinse"",""Degreaser Application"",""Deep Scrub Wash"",""Rust Inspection""]"
13,1200.00,2026-05-03 10:00:00,"Everyday exterior wash for Sri Lankan road dust, rain marks and light mud, finished with interior vacuuming and glass wipe-down for hatchbacks, sedans and compact SUVs.",45,"/service icons/Washing Packages.png","/service images/Washing Packages.jpg",true,true,Washing Packages,"from LKR 1,200",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Exterior Foam Wash"",""Interior Vacuuming"",""Dashboard Wipe-down"",""Glass Cleaning""]"
14,4500.00,2026-05-03 10:00:00,"Protective waxing service for tropical sun, salt air and rain exposure. Restores gloss and adds a temporary protective layer over cleaned exterior paintwork.",90,"/service icons/Waxing.png","/service images/Exterior Detailing.jpg",true,false,Waxing,"from LKR 4,500",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Exterior Hand Wash"",""Tar & Bug Removal"",""Carnauba Wax Coat"",""Hand Buffing Finish""]"
15,4500.00,2026-05-03 10:00:00,"Computerized wheel alignment check and adjustment for better tyre wear, straight-line stability and steering feel after pothole impact or suspension work.",60,"/service icons/Wheel Alignment.png","/service images/Mechanical Repair.jpg",true,true,Wheel Alignment,"from LKR 4,500",2026-05-03 10:00:00,3,2026-05-03 10:00:00,true,"[""Camber Adjustment"",""Caster Adjustment"",""Toe Adjustment"",""Test Drive Verification""]"
16,3000.00,2026-05-03 10:00:00,"Windscreen cleaning and rain-repellent treatment to improve visibility during heavy rain and night driving. Includes glass decontamination and wiper area inspection.",45,"/service icons/Windscreen Treatments.png","/service images/Exterior Detailing.jpg",true,false,Windscreen Treatments,"from LKR 3,000",2026-05-03 10:00:00,1,2026-05-03 10:00:00,true,"[""Glass Decontamination"",""Water Spot Removal"",""Rain Repellent Coat"",""Wiper Blade Check""]"
